1	65536	4840.9	59.6	11.6	9.2	194.3	4682.2	226.5	4633.7	1	48	38
2	53071	2774.4	23.2	14.6	11.6	147.0	2768.9	142.7	2763.3	2	64	46
3	46910	2255.3	16.5	23.3	14.7	175.7	2314.2	175.9	2332.2	3	80	54
4	42977	2241.6	14.1	22.4	15.1	174.8	2299.0	169.8	2337.9	4	96	62
5	40155	2468.4	12.9	24.5	16.3	172.7	2403.9	164.8	2483.5	5	112	70
6	37988	2525.6	12.6	27.7	17.3	190.9	2607.3	184.0	2629.3	6	128	78
7	36247	2950.0	12.3	31.1	18.7	207.5	2896.3	203.2	2888.9	7	144	86
8	34803	2384.7	11.6	33.8	19.4	233.6	2350.2	212.7	2460.5	8	160	94
9	33578	2310.1	11.3	38.4	21.3	253.3	2373.2	238.7	2389.2	9	176	102
10	32518	2139.3	11.5	43.2	23.1	288.6	2234.5	265.1	2166.8	10	192	110
11	31588	2448.1	10.3	43.2	22.5	295.6	2422.0	266.2	2511.1	11	208	118
12	30763	2153.8	9.7	45.4	22.5	322.3	2260.2	273.3	2170.3	12	224	126
13	30022	2024.0	9.2	47.5	23.1	342.7	2066.6	278.7	2073.5	13	240	134
14	29353	2822.0	8.9	50.0	23.5	366.4	2927.0	298.8	2903.3	14	256	142
15	28743	2512.7	8.8	52.9	24.5	384.6	2498.5	313.7	2527.0	15	272	150
16	28184	2207.1	8.6	56.7	25.5	403.2	2371.0	329.2	2312.3	16	288	158
17	27669	2023.6	8.3	58.8	26.1	413.0	2105.3	340.0	2026.5	17	304	166
18	27191	2358.7	8.3	62.0	27.1	435.2	2488.3	360.3	2449.9	18	320	174
19	26748	2028.5	8.1	65.9	28.1	448.9	2084.6	376.3	2021.5	19	336	182
20	26333	2369.5	7.8	67.8	28.4	477.0	2521.9	392.8	2461.6	20	352	190
21	25945	2121.3	7.8	70.6	29.0	481.7	2158.5	406.3	2103.2	21	368	198
22	25580	2008.2	7.6	74.3	29.7	503.8	2111.0	419.7	2174.6	22	384	206
23	25237	2027.1	7.7	78.8	30.7	519.8	2151.5	441.1	2065.6	23	400	214
24	24912	2070.2	7.5	81.3	31.3	536.2	2187.3	458.2	2238.9	24	416	222
25	24604	2541.2	7.6	87.4	32.8	562.7	2566.3	484.2	2547.8	25	432	230
26	24312	2409.9	7.5	92.6	33.8	597.7	2541.4	514.3	2577.0	26	448	238
27	24035	2271.3	7.6	96.8	35.1	608.9	2342.3	525.8	2333.9	27	464	246
28	23770	2423.4	7.2	96.5	34.6	615.1	2611.8	525.2	2536.6	28	480	254
