1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
7	0.00
8	0.00
9	0.00
10	0.00
11	0.00
12	0.00
13	0.00
14	0.00
15	0.00
16	0.00
17	0.00
18	0.00
19	0.00
20	0.00
21	0.00
22	0.00
23	0.00
24	0.00
25	0.00
26	0.00
27	0.00
28	0.00
29	0.00
31	0.00
32	0.00
33	0.00
35	0.00
36	0.00
38	0.00
40	0.00
41	0.00
43	0.00
45	0.00
47	0.00
49	0.00
52	0.00
54	0.00
56	0.00
59	0.00
61	0.00
64	0.00
67	0.00
70	0.00
73	0.00
76	0.00
79	0.00
83	0.00
87	0.00
91	0.00
95	0.00
99	0.00
103	0.00
108	0.00
112	0.00
117	0.00
123	0.00
128	0.00
134	0.00
140	0.00
146	0.00
152	0.00
159	0.89
166	0.88
173	0.84
181	0.80
189	0.78
197	0.75
206	0.71
215	0.69
225	0.96
235	0.98
245	0.94
256	0.92
267	0.92
279	0.89
292	0.94
304	0.90
318	0.86
332	0.86
347	0.88
362	0.87
378	0.85
395	0.82
412	0.86
431	0.86
450	0.82
470	0.81
490	0.77
512	0.77
535	0.76
558	0.75
583	0.77
609	0.75
636	0.75
664	0.71
693	0.68
724	0.70
756	0.69
790	0.67
825	0.65
861	0.68
899	0.64
939	0.63
981	0.65
1024	0.63
1069	0.62
1117	0.59
1166	0.58
1218	0.59
1272	0.57
1328	0.57
1387	0.55
1448	0.55
1512	0.54
1579	0.52
1649	0.53
1722	0.51
1798	0.51
1878	0.50
1961	0.48
2048	0.49
2139	0.82
2233	0.68
2332	0.57
2435	0.50
2543	0.45
2656	0.44
2774	0.43
2896	0.42
3025	0.41
3158	0.40
3298	0.40
3444	0.39
3597	0.37
3756	0.38
3922	0.87
4096	0.56
4277	0.46
4467	0.36
4664	0.35
4871	0.34
5087	0.32
5312	0.32
5547	0.31
5793	0.78
6049	0.34
6317	0.30
6597	0.29
6889	0.29
7194	0.28
7512	0.28
7845	0.31
8192	0.27
8555	0.26
8933	0.26
9329	0.25
9742	0.26
10173	0.25
10624	0.24
11094	0.25
11585	0.23
12098	0.23
12634	0.22
13193	0.22
13777	0.21
14387	0.22
15024	0.21
15689	0.21
16384	0.20
17109	0.20
17867	0.20
18658	0.19
19484	0.19
20347	0.18
21247	0.18
22188	0.18
23170	0.17
24196	0.17
25268	0.17
26386	0.16
27554	0.16
28774	0.16
30048	0.16
31379	0.15
32768	0.15
34219	0.15
35734	0.15
37316	0.15
38968	0.15
40693	0.14
42495	0.14
44376	0.13
46341	0.14
48393	0.13
50535	0.13
52773	0.13
55109	0.12
57549	0.12
60097	0.12
62757	0.12
65536	0.12
68438	0.12
71468	0.11
74632	0.11
77936	0.11
81386	0.10
84990	0.11
88752	0.10
92682	0.10
96785	0.10
101070	0.10
105545	0.10
110218	0.10
115098	0.10
120194	0.09
125515	0.09
131072	0.09
136875	0.09
142935	0.09
149263	0.09
155872	0.09
162773	0.08
169979	0.08
177505	0.08
185364	0.08
193571	0.08
202141	0.08
211090	0.08
220436	0.08
230195	0.08
240387	0.08
251030	0.07
262144	0.07
273750	0.07
285870	0.07
298527	0.07
311744	0.07
325546	0.08
339959	0.07
355010	0.08
370728	0.07
387141	0.08
404281	0.08
422180	0.08
440872	0.08
460391	0.08
480774	0.08
502060	0.08
524288	0.08
547500	0.08
571740	0.08
597053	0.08
623487	0.08
651091	0.08
679917	0.09
710020	0.09
741455	0.09
774282	0.09
808563	0.09
844361	0.09
881744	0.09
920782	0.09
961548	0.09
1004120	0.09
1048576	0.09
1095000	0.09
1143480	0.09
1194106	0.09
1246974	0.10
1302182	0.10
1359835	0.10
1420040	0.10
1482910	0.10
1548564	0.10
1617125	0.10
1688722	0.10
1763488	0.10
1841564	0.10
1923097	0.10
2008240	0.10
2097152	0.10
2190001	0.10
2286960	0.10
2388213	0.10
2493948	0.10
2604365	0.10
2719670	0.10
2840080	0.10
2965821	0.10
3097129	0.10
3234251	0.10
3377443	0.11
3526975	0.11
3683128	0.11
3846194	0.11
4016479	0.11
4194304	0.11
4380002	0.11
4573921	0.11
4776426	0.11
4987896	0.11
5208729	0.11
5439339	0.11
5680159	0.11
5931642	0.11
6194258	0.11
6468501	0.11
6754886	0.11
7053950	0.11
7366255	0.11
7692387	0.11
8032959	0.11
8388608	0.11
